k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
3.022489e-01,2.332637e-04,3.044445e-04,3.044445e-06,6.886695e-05,1.993660e-04,1.993660e-06
3.046477e-01,2.150352e-04,2.688858e-04,2.688858e-06,6.385798e-05,1.780873e-04,1.780873e-06
3.070465e-01,2.010227e-04,2.761733e-04,2.761733e-06,5.941517e-05,1.864611e-04,1.864611e-06
3.094453e-01,1.867133e-04,2.489661e-04,2.489661e-06,5.421286e-05,1.700525e-04,1.700525e-06
3.118441e-01,1.659654e-04,2.269616e-04,2.269616e-06,5.041409e-05,1.602943e-04,1.602943e-06
3.142429e-01,1.554043e-04,2.124468e-04,2.124468e-06,4.683629e-05,1.426149e-04,1.426149e-06
3.166417e-01,1.452210e-04,2.051214e-04,2.051214e-06,4.437195e-05,1.535617e-04,1.535617e-06
3.190405e-01,1.305147e-04,1.817622e-04,1.817622e-06,4.192684e-05,1.339724e-04,1.339724e-06
3.214393e-01,1.190546e-04,1.711934e-04,1.711934e-06,3.826734e-05,1.316359e-04,1.316359e-06
3.238381e-01,1.115610e-04,1.571088e-04,1.571088e-06,3.625329e-05,1.286293e-04,1.286293e-06
3.262369e-01,1.029432e-04,1.447560e-04,1.447560e-06,3.421825e-05,1.305441e-04,1.305441e-06
3.286357e-01,9.626445e-05,1.352422e-04,1.352422e-06,3.175277e-05,1.158104e-04,1.158104e-06
3.310345e-01,8.696137e-05,1.267745e-04,1.267745e-06,2.930344e-05,1.159333e-04,1.159333e-06
3.334333e-01,8.144985e-05,1.152007e-04,1.152007e-06,2.766593e-05,1.081882e-04,1.081882e-06
3.358321e-01,7.513179e-05,1.100070e-04,1.100070e-06,2.577198e-05,1.053772e-04,1.053772e-06
3.382309e-01,7.114916e-05,1.085108e-04,1.085108e-06,2.383329e-05,9.555837e-05,9.555837e-07
3.406297e-01,6.494734e-05,1.035502e-04,1.035502e-06,2.195246e-05,9.762178e-05,9.762178e-07
3.430285e-01,5.956333e-05,9.288355e-05,9.288355e-07,2.056716e-05,8.938040e-05,8.938040e-07
3.454273e-01,5.540358e-05,9.242401e-05,9.242401e-07,1.901469e-05,8.517124e-05,8.517124e-07
3.478261e-01,5.110123e-05,8.338957e-05,8.338957e-07,1.814903e-05,8.234614e-05,8.234614e-07
3.502249e-01,4.784055e-05,7.928895e-05,7.928895e-07,1.683470e-05,8.121035e-05,8.121035e-07
3.526237e-01,4.351936e-05,7.173109e-05,7.173109e-07,1.607367e-05,7.515639e-05,7.515639e-07
3.550225e-01,4.054126e-05,6.945299e-05,6.945299e-07,1.496750e-05,7.041401e-05,7.041401e-07
3.574213e-01,3.736005e-05,6.431113e-05,6.431113e-07,1.425342e-05,6.812480e-05,6.812480e-07
3.598201e-01,3.519911e-05,6.265436e-05,6.265436e-07,1.337161e-05,6.602802e-05,6.602802e-07
3.622189e-01,3.192035e-05,5.524237e-05,5.524237e-07,1.234845e-05,6.003477e-05,6.003477e-07
3.646177e-01,2.996528e-05,5.381354e-05,5.381354e-07,1.184269e-05,6.067250e-05,6.067250e-07
3.670165e-01,2.799753e-05,5.183389e-05,5.183389e-07,1.121984e-05,5.842961e-05,5.842961e-07
3.694153e-01,2.575693e-05,5.221910e-05,5.221910e-07,1.050030e-05,5.488862e-05,5.488862e-07
3.718141e-01,2.420043e-05,4.833527e-05,4.833527e-07,9.894188e-06,5.118345e-05,5.118345e-07
3.742129e-01,2.247338e-05,4.378824e-05,4.378824e-07,9.490006e-06,4.958905e-05,4.958905e-07
3.766117e-01,2.076152e-05,4.120744e-05,4.120744e-07,8.927906e-06,4.658319e-05,4.658319e-07
3.790105e-01,1.957298e-05,4.006894e-05,4.006894e-07,8.411848e-06,4.315918e-05,4.315918e-07
3.814093e-01,1.836054e-05,4.003490e-05,4.003490e-07,7.976928e-06,4.271631e-05,4.271631e-07
3.838081e-01,1.684333e-05,3.704911e-05,3.704911e-07,7.603750e-06,4.168720e-05,4.168720e-07
3.862069e-01,1.584281e-05,3.462774e-05,3.462774e-07,7.060377e-06,3.823738e-05,3.823738e-07
3.886057e-01,1.447922e-05,3.222990e-05,3.222990e-07,6.712989e-06,3.683407e-05,3.683407e-07
3.910045e-01,1.372924e-05,3.323078e-05,3.323078e-07,6.432232e-06,3.566385e-05,3.566385e-07
3.934033e-01,1.271016e-05,3.023213e-05,3.023213e-07,6.026721e-06,3.329365e-05,3.329365e-07
3.958021e-01,1.173001e-05,2.748290e-05,2.748290e-07,5.825806e-06,3.241572e-05,3.241572e-07
3.982009e-01,1.089914e-05,2.662952e-05,2.662952e-07,5.492371e-06,3.050441e-05,3.050441e-07
4.005997e-01,1.033772e-05,2.651241e-05,2.651241e-07,5.214893e-06,2.970261e-05,2.970261e-07
4.029985e-01,9.581804e-06,2.456161e-05,2.456161e-07,4.993158e-06,2.913317e-05,2.913317e-07
4.053973e-01,9.007743e-06,2.304752e-05,2.304752e-07,4.708492e-06,2.824118e-05,2.824118e-07
4.077961e-01,8.290025e-06,2.156652e-05,2.156652e-07,4.440866e-06,2.657468e-05,2.657468e-07
4.101949e-01,7.811020e-06,2.197980e-05,2.197980e-07,4.124910e-06,2.453357e-05,2.453357e-07
4.125937e-01,7.338805e-06,2.188789e-05,2.188789e-07,3.918232e-06,2.326640e-05,2.326640e-07
4.149925e-01,6.790208e-06,1.978690e-05,1.978690e-07,3.681979e-06,2.207960e-05,2.207960e-07
4.173913e-01,6.411739e-06,1.877366e-05,1.877366e-07,3.497405e-06,2.110730e-05,2.110730e-07
4.197901e-01,5.863438e-06,1.714745e-05,1.714745e-07,3.293799e-06,1.952678e-05,1.952678e-07
4.221889e-01,5.515634e-06,1.753875e-05,1.753875e-07,3.135152e-06,1.824596e-05,1.824596e-07
4.245877e-01,5.179116e-06,1.702523e-05,1.702523e-07,3.065622e-06,1.834033e-05,1.834033e-07
4.269865e-01,4.877623e-06,1.553025e-05,1.553025e-07,2.923243e-06,1.772860e-05,1.772860e-07
4.293853e-01,4.565988e-06,1.453392e-05,1.453392e-07,2.833242e-06,1.728345e-05,1.728345e-07
4.317841e-01,4.351619e-06,1.436453e-05,1.436453e-07,2.752557e-06,1.678567e-05,1.678567e-07
4.341829e-01,4.000834e-06,1.389627e-05,1.389627e-07,2.627038e-06,1.598023e-05,1.598023e-07
4.365817e-01,3.714394e-06,1.286147e-05,1.286147e-07,2.557734e-06,1.574501e-05,1.574501e-07
4.389805e-01,3.617290e-06,1.268154e-05,1.268154e-07,2.464481e-06,1.567440e-05,1.567440e-07
4.413793e-01,3.353907e-06,1.161935e-05,1.161935e-07,2.370816e-06,1.527137e-05,1.527137e-07
4.437781e-01,3.183474e-06,1.165106e-05,1.165106e-07,2.227763e-06,1.421141e-05,1.421141e-07
4.461769e-01,3.010464e-06,1.110741e-05,1.110741e-07,2.144208e-06,1.394553e-05,1.394553e-07
4.485757e-01,2.850864e-06,1.128380e-05,1.128380e-07,2.002655e-06,1.308456e-05,1.308456e-07
4.509745e-01,2.679267e-06,1.093913e-05,1.093913e-07,1.878372e-06,1.219655e-05,1.219655e-07
4.533733e-01,2.504425e-06,1.059465e-05,1.059465e-07,1.778879e-06,1.139589e-05,1.139589e-07
4.557721e-01,2.421957e-06,1.038661e-05,1.038661e-07,1.657054e-06,1.068329e-05,1.068329e-07
4.581709e-01,2.327083e-06,1.100003e-05,1.100003e-07,1.575136e-06,1.013665e-05,1.013665e-07
4.605697e-01,2.185666e-06,1.099062e-05,1.099062e-07,1.478259e-06,9.544174e-06,9.544174e-08
4.629685e-01,2.066867e-06,1.109665e-05,1.109665e-07,1.412376e-06,9.178308e-06,9.178308e-08
4.653673e-01,1.943250e-06,1.108816e-05,1.108816e-07,1.351494e-06,8.668492e-06,8.668492e-08
4.677661e-01,1.837635e-06,1.193351e-05,1.193351e-07,1.329153e-06,8.620258e-06,8.620258e-08
4.701649e-01,1.749189e-06,1.187989e-05,1.187989e-07,1.276860e-06,8.250057e-06,8.250057e-08
4.725638e-01,1.666938e-06,1.207430e-05,1.207430e-07,1.219835e-06,7.882647e-06,7.882647e-08
4.749626e-01,1.567856e-06,1.240014e-05,1.240014e-07,1.195959e-06,7.911294e-06,7.911294e-08
4.773614e-01,1.505502e-06,1.283871e-05,1.283871e-07,1.141203e-06,7.504939e-06,7.504939e-08
4.797602e-01,1.418154e-06,1.269698e-05,1.269698e-07,1.107802e-06,7.456860e-06,7.456860e-08
4.821590e-01,1.369611e-06,1.330097e-05,1.330097e-07,1.066281e-06,7.353654e-06,7.353654e-08
4.845578e-01,1.297817e-06,1.397536e-05,1.397536e-07,1.025631e-06,7.063691e-06,7.063691e-08
4.869566e-01,1.246547e-06,1.422018e-05,1.422018e-07,9.741897e-07,6.710316e-06,6.710316e-08
4.893554e-01,1.200019e-06,1.454861e-05,1.454861e-07,9.325354e-07,6.414521e-06,6.414521e-08
4.917542e-01,1.170989e-06,1.525040e-05,1.525040e-07,8.954283e-07,6.050538e-06,6.050538e-08
4.941530e-01,1.124681e-06,1.582389e-05,1.582389e-07,8.513626e-07,5.678433e-06,5.678433e-08
4.965518e-01,1.081856e-06,1.589956e-05,1.589956e-07,8.187898e-07,5.357264e-06,5.357264e-08
4.989506e-01,1.039931e-06,1.665446e-05,1.665446e-07,7.673198e-07,5.061319e-06,5.061319e-08
5.013494e-01,1.024888e-06,1.742284e-05,1.742284e-07,7.437870e-07,4.888289e-06,4.888289e-08
5.037482e-01,9.895212e-07,1.798360e-05,1.798360e-07,7.016079e-07,4.731681e-06,4.731681e-08
5.061470e-01,9.635575e-07,1.822696e-05,1.822696e-07,6.845967e-07,4.708780e-06,4.708780e-08
5.085458e-01,9.189466e-07,1.903998e-05,1.903998e-07,6.491372e-07,4.565639e-06,4.565639e-08
5.109446e-01,8.828029e-07,1.909374e-05,1.909374e-07,6.310918e-07,4.556108e-06,4.556108e-08
5.133434e-01,8.533389e-07,1.938872e-05,1.938872e-07,6.175198e-07,4.555190e-06,4.555190e-08
5.157422e-01,8.203001e-07,1.965115e-05,1.965115e-07,6.000069e-07,4.553661e-06,4.553661e-08
5.181410e-01,8.065865e-07,2.034284e-05,2.034284e-07,5.932818e-07,4.750960e-06,4.750960e-08
5.205398e-01,7.740525e-07,2.036059e-05,2.036059e-07,5.770783e-07,4.820898e-06,4.820898e-08
5.229386e-01,7.493737e-07,2.091900e-05,2.091900e-07,5.611102e-07,4.953864e-06,4.953864e-08
5.253374e-01,7.267798e-07,2.143017e-05,2.143017e-07,5.489546e-07,5.095522e-06,5.095522e-08
5.277362e-01,7.190767e-07,2.189717e-05,2.189717e-07,5.244707e-07,5.088203e-06,5.088203e-08
5.301350e-01,6.888827e-07,2.191485e-05,2.191485e-07,5.103982e-07,5.215330e-06,5.215330e-08
5.325338e-01,6.854377e-07,2.240445e-05,2.240445e-07,4.892574e-07,5.252581e-06,5.252581e-08
5.349326e-01,6.640065e-07,2.272439e-05,2.272439e-07,4.706468e-07,5.328619e-06,5.328619e-08
5.373314e-01,6.530221e-07,2.287937e-05,2.287937e-07,4.532769e-07,5.460878e-06,5.460878e-08
5.397302e-01,6.422175e-07,2.310234e-05,2.310234e-07,4.364851e-07,5.596381e-06,5.596381e-08
5.421290e-01,6.270347e-07,2.358058e-05,2.358058e-07,4.229084e-07,5.772151e-06,5.772151e-08
5.445278e-01,6.126527e-07,2.375274e-05,2.375274e-07,4.096178e-07,5.975278e-06,5.975278e-08
5.469266e-01,5.944559e-07,2.385140e-05,2.385140e-07,3.996444e-07,6.182459e-06,6.182459e-08
5.493254e-01,5.871355e-07,2.416952e-05,2.416952e-07,3.867612e-07,6.375047e-06,6.375047e-08
5.517242e-01,5.691079e-07,2.431424e-05,2.431424e-07,3.798583e-07,6.605848e-06,6.605848e-08
5.541230e-01,5.541825e-07,2.430710e-05,2.430710e-07,3.715505e-07,6.832350e-06,6.832350e-08
5.565218e-01,5.378021e-07,2.437027e-05,2.437027e-07,3.678199e-07,7.065477e-06,7.065477e-08
5.589206e-01,5.260980e-07,2.466977e-05,2.466977e-07,3.613369e-07,7.307169e-06,7.307169e-08
5.613194e-01,5.106543e-07,2.463408e-05,2.463408e-07,3.589857e-07,7.574307e-06,7.574307e-08
5.637182e-01,4.998238e-07,2.469818e-05,2.469818e-07,3.554155e-07,7.806225e-06,7.806225e-08
5.661170e-01,4.908478e-07,2.479198e-05,2.479198e-07,3.488899e-07,8.030725e-06,8.030725e-08
5.685158e-01,4.832753e-07,2.494205e-05,2.494205e-07,3.480002e-07,8.264581e-06,8.264581e-08
5.709146e-01,4.739294e-07,2.478424e-05,2.478424e-07,3.362664e-07,8.469742e-06,8.469742e-08
5.733134e-01,4.671401e-07,2.488575e-05,2.488575e-07,3.332867e-07,8.666974e-06,8.666974e-08
5.757122e-01,4.598820e-07,2.487365e-05,2.487365e-07,3.258898e-07,8.862352e-06,8.862352e-08
5.781110e-01,4.523203e-07,2.487640e-05,2.487640e-07,3.128679e-07,9.065631e-06,9.065631e-08
5.805098e-01,4.470570e-07,2.470361e-05,2.470361e-07,3.104055e-07,9.272881e-06,9.272881e-08
5.829086e-01,4.417630e-07,2.481351e-05,2.481351e-07,2.982581e-07,9.454770e-06,9.454770e-08
5.853074e-01,4.307898e-07,2.466038e-05,2.466038e-07,2.947526e-07,9.659348e-06,9.659348e-08
